Time, Delta, Delat Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:22:53.416013,2.859236,2019-05-08 13:22:53.416013,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.418008,2.861231,2019-05-08 13:22:53.418008,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.421999,2.865222,2019-05-08 13:22:53.421999,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.424998,2.868221,2019-05-08 13:22:53.424998,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.426984,2.870207,2019-05-08 13:22:53.426984,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.430975,2.874198,2019-05-08 13:22:53.430975,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.433966,2.877189,2019-05-08 13:22:53.433966,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.435961,2.879184,2019-05-08 13:22:53.435961,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.437955,2.881178,2019-05-08 13:22:53.437955,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.442943,2.886166,2019-05-08 13:22:53.442943,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.444937,2.88816,2019-05-08 13:22:53.444937,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.446932,2.890155,2019-05-08 13:22:53.446932,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.448926,2.892149,2019-05-08 13:22:53.448926,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.453913,2.897136,2019-05-08 13:22:53.453913,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.455907,2.89913,2019-05-08 13:22:53.455907,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.458900,2.902123,2019-05-08 13:22:53.458900,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.460894,2.904117,2019-05-08 13:22:53.460894,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.464883,2.908106,2019-05-08 13:22:53.464883,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.466878,2.910101,2019-05-08 13:22:53.466878,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.468875,2.912098,2019-05-08 13:22:53.468875,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.472866,2.916089,2019-05-08 13:22:53.472866,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.475855,2.919078,2019-05-08 13:22:53.475855,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.477849,2.921072,2019-05-08 13:22:53.477849,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.479844,2.923067,2019-05-08 13:22:53.479844,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.483834,2.927057,2019-05-08 13:22:53.483834,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.485827,2.92905,2019-05-08 13:22:53.485827,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.487822,2.931045,2019-05-08 13:22:53.487822,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.490815,2.934038,2019-05-08 13:22:53.490815,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.494804,2.938027,2019-05-08 13:22:53.494804,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.497795,2.941018,2019-05-08 13:22:53.497795,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.499790,2.943013,2019-05-08 13:22:53.499790,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.503781,2.947004,2019-05-08 13:22:53.503781,0,b,0,('0.0.0.0', 11000),()
